标识,函数类型,题图,模板标题,编程语言（页面展示）,运行时版本,入口函数名称,是否是编译型语言,ZipFile 地址,zipFile文件,描述,标签组,说明示例,镜像路径,服务端口,对外隐藏,排序,跳转链接,语言,陈列页面,Git仓库地址（默认github）,模板归类,服务环境变量,目标平台,模板ID,git仓库列表,使用指引
openclaw,"[""tcbrContainer"",""scfWeb""]",https://qcloudimg.tencent-cloud.cn/raw/1336503cf5d90e9ae308a71129fd044e.svg,OpenClaw,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/ai/agent/templates_tcbr_zip/openclaw-js-0.0.1.zip,,"快速接入开源 AI 助手""龙虾AI""、支持 SSE 流式返回，实时响应、支持 JWT Token 用户身份识别","[""Agent 开发平台""]",,crunbuild-az-new.tencentcloudcr.com/cloudbase/openclaw-js:0.0.1,9000,否,2,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/openclaw-js,创建AI Agent服务,"[{""visible"":true,""placeholder"":""请输入 OpenClaw Gateway Token（API 密钥）"",""key"":""OPENCLAW_GATEWAY_TOKEN""},{""visible"":true,""placeholder"":""请输入 OpenClaw API 基础 URL"",""key"":""OPENCLAW_BASE_URL""},{""visible"":true,""placeholder"":""请输入 OpenClaw Agent ID"",""value"":""main"",""key"":""OPENCLAW_AGENT_ID""}]","[""国内站""]",demo-nscqrv3j,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/openclaw-js""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/openclaw-js""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/openclaw-js""}}]",查看环境变量[填写指南](https://docs.cloudbase.net/ai/agent-development/frameworks/openclaw)，如需部署开源版本，[点击前往](https://tcb.cloud.tencent.com/dev#/lighthouse/create?blueprintType=APP_OS&blueprintId=lhbp-2jn60c9c)
dify-py-en,"[""scfWeb"",""tcbrContainer""]",https://qcloudimg.tencent-cloud.cn/raw/42daad18f5376a08367c027c4b59d50a.png,Dify,Python,Python3.10,,否,https://tcb.cloud.tencent.com/cloud-run-function-template/dify-agent.zip,,"You can connect to the Dify official website and open source deployment versions. Support dialogue API, support streaming and blocking responses, support Agent mode tool calls, support JWT authentication integration","[""Agent dev platform""]","Support Dify dialogue API, support streaming and blocking responses, support Agent mode tool calls, support JWT authentication integration",crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-dify-python-agent:latest,9000,,100,,英文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/dify-python,创建AI Agent服务,"[{""visible"":true,""placeholder"":""Please enter the API Key of Dify platform"",""key"":""DIFY_API_KEY""},{""visible"":true,""placeholder"":""Please enter the basic URL of the Dify platform"",""value"":""https://api.dify.ai/v1"",""key"":""DIFY_API_BASE""}]","[""国内站""]",demo-9kbl6coz,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/dify-python""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/dify-python""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/dify-python""}}]","View [Get API Key Document](https://docs.dify.ai/zh/use-dify/publish/developing-with-apis)，To deploy the open-source version, [click to go](https://tcb.cloud.tencent.com/dev#/lighthouse/create?blueprintType=APP_OS&blueprintId=lhbp-hvd5b064)"
n8n-en,"[""tcbrContainer"",""scfWeb""]",https://qcloudimg.tencent-cloud.cn/raw/644f18b601598150f32ca2f668d08603.svg,n8n,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/ai/agent/templates_tcbr_zip/n8n-js-v0.0.1.zip,,"Can connect to the n8n official website and open source deployment versions. Support connecting n8n workflows through n8n webhooks, support streaming response, and support OpenTelemetry observability","[""Agent dev platform""]",,crunbuild-az-new.tencentcloudcr.com/cloudbase/n8n-js:v0.0.1,9000,,80,,英文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/n8n-js,创建AI Agent服务,"[{""visible"":true,""placeholder"":""Please enter the n8n Webhook URL from the 'When chat message received' node"",""key"":""N8N_WEBHOOK_URL""}]","[""国内站""]",demo-oph7qmar,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/n8n-js""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/n8n-js""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/n8n-js""}}]","View [configuration document](https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/n8n-js#n8n-workflow-%E9%85%8D%E7%BD%AE)，To deploy the open source version, [click to go]((https://tcb.cloud.tencent.com/dev#/lighthouse/create?blueprintType=APP_OS&blueprintId=lhbp-5utfah5i))"
n8n,"[""tcbrContainer"",""scfWeb""]",https://qcloudimg.tencent-cloud.cn/raw/644f18b601598150f32ca2f668d08603.svg,n8n,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/ai/agent/templates_tcbr_zip/n8n-js-v0.0.1.zip,,可以对接 n8n 官网和开源部署版本。支持通过 n8n Webhook 连接 n8n 工作流、支持流式响应、支持 OpenTelemetry 可观测性,"[""Agent 开发平台""]",,crunbuild-az-new.tencentcloudcr.com/cloudbase/n8n-js:v0.0.1,9000,否,80,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/n8n-js,创建AI Agent服务,"[{""visible"":true,""placeholder"":""请输入 n8n Webhook URL，来自 \""When chat message received\"" 节点"",""key"":""N8N_WEBHOOK_URL""}]","[""国内站""]",demo-oph7qmar,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/n8n-js""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/n8n-js""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/n8n-js""}}]",查看[配置文档](https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/n8n-js#n8n-workflow-%E9%85%8D%E7%BD%AE)，如需部署开源版本，[点击前往](https://tcb.cloud.tencent.com/dev#/lighthouse/create?blueprintType=APP_OS&blueprintId=lhbp-5utfah5i)
openclaw-en,"[""tcbrContainer"",""scfWeb""]",https://qcloudimg.tencent-cloud.cn/raw/1336503cf5d90e9ae308a71129fd044e.svg,OpenClaw,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/ai/agent/templates_tcbr_zip/openclaw-js-0.0.1.zip,,"Quickly integrate the open-source AI assistant ""Lobster AI,"" supporting SSE streaming responses, real-time interaction, and JWT token-based user authentication","[""Agent dev platform""]",,crunbuild-az-new.tencentcloudcr.com/cloudbase/openclaw-js:0.0.1,9000,,2,,英文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/openclaw-js,创建AI Agent服务,"[{""visible"":true,""placeholder"":""Please enter the OpenClaw Gateway Token (API key)"",""key"":""OPENCLAW_GATEWAY_TOKEN""},{""visible"":true,""placeholder"":""Please enter the OpenClaw API base URL"",""key"":""OPENCLAW_BASE_URL""},{""visible"":true,""placeholder"":""Please enter OpenClaw Agent ID"",""value"":""main"",""key"":""OPENCLAW_AGENT_ID""}]","[""国内站""]",demo-nscqrv3j,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/openclaw-js""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/openclaw-js""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/openclaw-js""}}]","View the guide for filling in [environment variables]((https://docs.cloudbase.net/ai/agent-development/frameworks/openclaw)), To deploy the open source version, [click to go]((https://tcb.cloud.tencent.com/dev#/lighthouse/create?blueprintType=APP_OS&blueprintId=lhbp-2jn60c9c))"
scf-golang-helloworld,"[""scfFunc""]",,Golang 空白模版,Go,Go1,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/f19062d0e8120b92c2f497400f64c096-scf-golang-helloworld.zip,Golang 语言空白 helloworld 模版,"[""Golang""]","这是云函数 Golang 语言的 空白 helloworld 模板，模板内仅包含入口文件。

函数源码可以参考:

[github](https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/cloudfunctions/scf-golang-helloworld)",,,,2,,中文,,,,,"[""国内站""]",,,
scf-helloworld,"[""scfFunc""]",,Nodejs空白模板,Nodejs18.15,Nodejs18.15,index.main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/e8828e0cf867c39ba91925dc073f4704-helloworld.zip,Nodejs 语言 空白 helloworld 模板,"[""Nodejs""]",这是云函数 Nodejs 语言的 空白 helloworld 模板，模板内仅包含入口文件。,,,,1,,中文,,,,,"[""国内站""]",,,
yuanqi,"[""scfWeb"",""tcbrContainer""]",https://7163-qcloud-tcb-console-1258344699.tcb.qcloud.la/cloudbase-cms/upload/2025-07-03/k9kew8lmirmkk5hdk4lvbtigslpk5hii_.png,腾讯元器,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/ai/agent/templates_tcbr_zip/yuanqi-js-0.0.5.zip,,支持微信公众号智能体，支持工作流、插件、MCP、知识库、multi-agent等能力，低门槛搭建 agent,"[""Agent 开发平台""]",,crunbuild-az-new.tencentcloudcr.com/cloudbase/yuanqi-js:0.0.5,9000,否,9,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/yuanqi-js,创建AI Agent服务,"[{""visible"":true,""placeholder"":""请输入腾讯元器的智能体的 appid"",""value"":"""",""key"":""YUANQI_APP_ID""},{""visible"":true,""placeholder"":""请输入腾讯元器的智能体的 appkey"",""key"":""YUANQI_APP_KEY""}]","[""国内站""]",demo-kauuzvkz,"[{""gitPlatform"":{""gitType"":""github"",""gitUrl"":""https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/yuanqi-js""}},{""gitPlatform"":{""gitType"":""gitee"",""gitUrl"":""https://gitee.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/httpfunctions/yuanqi-js""}},{""gitPlatform"":{""gitType"":""cnb"",""gitUrl"":""https://cnb.cool/tencent/cloud/cloudbase/awesome-cloudbase-examples/-/tree/master/httpfunctions/yuanqi-js""}}]",去[腾讯元器](https://yuanqi.tencent.com/index)创建智能体，并获取智能体ID和Token，[查看文档](https://yuanqi.tencent.com/guide/publish-agent-api-documentation)
adp-test,"[""scfWeb"",""tcbrContainer""]",,ADP-test,Javascript,Nodejs20.19,,否,https://tcb.cloud.tencent.com/cloud-run-function-template/adp-js.zip,,,"[""Agent 开发平台""]",,crunbuild-az-new.tencentcloudcr.com/cloudbase/cloudrun-agent-adp-js:latest,,是,100,,中文,,,,"[{""visible"":true,""placeholder"":""请输入腾讯云智能体开发平台的 AppKey"",""key"":""ADP_APP_KEY""}]","[""国内站""]",demo-m9d3d57z,,
nextjs-web-template,"[""tcbStatichost""]",https://6c6f-lowcode-5g5llxbq5bc9299e-1300677802.tcb.qcloud.la/weda-uploader/2091a45cf2905b9c8f376e94b03b08d4-Next.js.svg,Nextjs Web 应用模板,javascript,Nodejs20.0,main,否,,cloud://lowcode-5g5llxbq5bc9299e.6c6f-lowcode-5g5llxbq5bc9299e-1300677802/weda-uploader/032f49be0d2ac3ffc58fbba07cce7592-web-cloudbase-nextjs-template1.zip,基于 Next.js、React 和腾讯云开发（CloudBase）的 SSG 静态站点模板，为开发者提供了快速构建全栈应用的能力。,"[""nextjs"",""web""]",,,,否,3,,中文,,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/web/web-cloudbase-nextjs-template,,,"[""国内站"",""国际站""]",,,
